Operator;Unreal Engine 3;59.859120,17.633264
Sales Associate;RFP Generation;59.856825,17.636997
Graphic Designer;Lua;59.863053,17.626097
VP Accounting;HS&amp;E;59.866457,17.648499
Business Systems Development Analyst;Tax;59.859002,17.647512
Information Systems Manager;Agribusiness;59.862837,17.645280
Account Representative IV;CNC Mill;59.872623,17.642142
Geological Engineer;Eggs;59.868002,17.631408
Technical Writer;GSS;59.859082,17.651118
Senior Cost Accountant;Google Apps;59.850578,17.632935
Product Engineer;Avid;59.846372,17.654773
Biostatistician III;Book Illustration;59.843559,17.633861
Help Desk Operator;Western Europe;59.844768,17.664489
Chemical Engineer;TPC;59.864588,17.634558
Accountant II;Documentaries;59.862778,17.647196
Director of Sales;TV Distribution;59.859514,17.628829
GIS Technical Architect;Crisis Intervention;59.876016,17.641853
Librarian;Design of Experiments;59.873905,17.639064
Director of Sales;SMS;59.872990,17.636253
Software Engineer II;Interpersonal Skills;59.876232,17.631618
